,[6. 5. 5. 5.],[6. 6. 5. 4.],[6. 6. 6. 3.],[7. 5. 5. 4.],[7. 6. 4. 4.],[7. 6. 5. 3.],[7. 6. 6. 2.],[7. 7. 4. 3.],[7. 7. 5. 2.],[7. 7. 6. 1.],[7. 7. 7. 0.],[8. 5. 4. 4.],[8. 5. 5. 3.],[8. 6. 4. 3.],[8. 6. 5. 2.],[8. 6. 6. 1.],[8. 7. 3. 3.],[8. 7. 4. 2.],[8. 7. 5. 1.],[8. 7. 6. 0.],[8. 8. 3. 2.],[8. 8. 4. 1.],[8. 8. 5. 0.],[9. 4. 4. 4.],[9. 5. 4. 3.],[9. 5. 5. 2.],[9. 6. 3. 3.],[9. 6. 4. 2.],[9. 6. 5. 1.],[9. 6. 6. 0.],[9. 7. 3. 2.],[9. 7. 4. 1.],[9. 7. 5. 0.],[9. 8. 2. 2.],[9. 8. 3. 1.],[9. 8. 4. 0.],[9. 9. 2. 1.],[9. 9. 3. 0.],[10.  4.  4.  3.],[10.  5.  3.  3.],[10.  5.  4.  2.],[10.  5.  5.  1.],[10.  6.  3.  2.],[10.  6.  4.  1.],[10.  6.  5.  0.],[10.  7.  2.  2.],[10.  7.  3.  1.],[10.  7.  4.  0.],[10.  8.  2.  1.],[10.  8.  3.  0.],[10.  9.  1.  1.],[10.  9.  2.  0.],[10. 10.  1.  0.],[11.  4.  3.  3.],[11.  4.  4.  2.],[11.  5.  3.  2.],[11.  5.  4.  1.],[11.  5.  5.  0.],[11.  6.  2.  2.],[11.  6.  3.  1.],[11.  6.  4.  0.],[11.  7.  2.  1.],[11.  7.  3.  0.],[11.  8.  1.  1.],[11.  8.  2.  0.],[11.  9.  1.  0.],[11. 10.  0.  0.],[12.  3.  3.  3.],[12.  4.  3.  2.],[12.  4.  4.  1.],[12.  5.  2.  2.],[12.  5.  3.  1.],[12.  5.  4.  0.],[12.  6.  2.  1.],[12.  6.  3.  0.],[12.  7.  1.  1.],[12.  7.  2.  0.],[12.  8.  1.  0.],[12.  9.  0.  0.],[13.  3.  3.  2.],[13.  4.  2.  2.],[13.  4.  3.  1.],[13.  4.  4.  0.],[13.  5.  2.  1.],[13.  5.  3.  0.],[13.  6.  1.  1.],[13.  6.  2.  0.],[13.  7.  1.  0.],[13.  8.  0.  0.],[14.  3.  2.  2.],[14.  3.  3.  1.],[14.  4.  2.  1.],[14.  4.  3.  0.],[14.  5.  1.  1.],[14.  5.  2.  0.],[14.  6.  1.  0.],[14.  7.  0.  0.],[15.  2.  2.  2.],[15.  3.  2.  1.],[15.  3.  3.  0.],[15.  4.  1.  1.],[15.  4.  2.  0.],[15.  5.  1.  0.],[15.  6.  0.  0.],[16.  2.  2.  1.],[16.  3.  1.  1.],[16.  3.  2.  0.],[16.  4.  1.  0.],[16.  5.  0.  0.],[17.  2.  1.  1.],[17.  2.  2.  0.],[17.  3.  1.  0.],[17.  4.  0.  0.],[18.  1.  1.  1.],[18.  2.  1.  0.],[18.  3.  0.  0.],[19.  1.  1.  0.],[19.  2.  0.  0.],[20.  1.  0.  0.],[21.  0.  0.  0.]
[16.  3.  1.  1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.75,-0.25,-1.0,-1.0,-1.0,-0.75,-0.75,-1.0,-0.75,-0.75,-0.25,-0.75,-0.75,-0.25,-1.0,-1.0,-0.75,-1.0,-0.75,-0.75,-0.25,-0.75,-0.75,-0.25,-0.5,-0.5833333333333334,-0.25,-0.3333333333333333,-0.08333333333333333,-1.0,-1.0,-0.75,-0.75,-0.75,-0.75,-0.25,-0.5,-0.5833333333333334,-0.25,-0.3333333333333333,-0.08333333333333333,0.0,0.0,0.3333333333333333,-1.0,-0.75,-0.75,-0.75,-0.25,-0.5,-0.5833333333333334,-0.25,-0.3333333333333333,-0.08333333333333333,0.0,0.0,0.3333333333333333,0.5,-1.0,-0.75,-0.75,-0.5,-0.5833333333333334,-0.25,-0.3333333333333333,-0.08333333333333333,0.0,0.0,0.3333333333333333,0.5,-0.75,-0.5,-0.5833333333333334,-0.25,-0.3333333333333333,-0.08333333333333333,0.0,0.0,0.3333333333333333,0.5,-0.5,-0.4166666666666667,-0.3333333333333333,-0.08333333333333333,0.0,0.0,0.3333333333333333,0.5,-0.25,-0.16666666666666666,0.08333333333333333,0.0,0.0,0.3333333333333333,0.5,-0.16666666666666666,0.0,-0.0,0.16666666666666666,0.5,-0.0,-0.0,0.16666666666666666,0.25,0.5,0.3333333333333333,0.5,0.8333333333333334,0.5,1.0,1.0
[16.  3.  2.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.5,-0.5,-1.0,-1.0,-1.0,-0.75,-0.5,-1.0,-0.75,-0.5,-0.5,-0.6666666666666666,-0.5,-0.5,-1.0,-1.0,-0.75,-1.0,-0.75,-0.5,-0.5,-0.6666666666666666,-0.5,-0.5,-0.3333333333333333,-0.4166666666666667,-0.5,-0.16666666666666666,-0.3333333333333333,-1.0,-1.0,-0.75,-0.5,-0.6666666666666666,-0.5,-0.5,-0.3333333333333333,-0.4166666666666667,-0.5,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.16666666666666666,-1.0,-0.75,-0.6666666666666666,-0.5,-0.5,-0.3333333333333333,-0.4166666666666667,-0.5,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,-1.0,-0.6666666666666666,-0.5,-0.3333333333333333,-0.4166666666666667,-0.5,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,-0.5833333333333334,-0.3333333333333333,-0.4166666666666667,-0.5,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,-0.16666666666666666,-0.3333333333333333,-0.16666666666666666,-0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.25,0.0,-0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,-0.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,-0.0,-0.08333333333333333,0.25,0.3333333333333333,0.16666666666666666,0.5,0.5833333333333334,0.75,1.0
[16.  4.  1.  0.],-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-0.75,-0.75,-0.75,-0.75,-0.5,-1.0,-0.75,-0.75,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5,-0.6666666666666666,-0.5,-1.0,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5,-0.6666666666666666,-0.5,-0.5,-0.4166666666666667,-0.3333333333333333,-0.4166666666666667,-0.16666666666666666,-0.75,-0.5,-0.75,-0.75,-0.5,-0.6666666666666666,-0.5,-0.5,-0.4166666666666667,-0.3333333333333333,-0.4166666666666667,-0.16666666666666666,-0.3333333333333333,-0.16666666666666666,0.0,-0.5,-0.75,-0.5,-0.6666666666666666,-0.5,-0.5,-0.4166666666666667,-0.3333333333333333,-0.4166666666666667,-0.16666666666666666,-0.3333333333333333,-0.16666666666666666,0.0,0.3333333333333333,-0.25,-0.5,-0.5833333333333334,-0.5,-0.4166666666666667,-0.3333333333333333,-0.4166666666666667,-0.16666666666666666,-0.3333333333333333,-0.16666666666666666,0.0,0.3333333333333333,-0.25,-0.5,-0.3333333333333333,-0.16666666666666666,-0.4166666666666667,-0.16666666666666666,-0.3333333333333333,-0.16666666666666666,0.0,0.3333333333333333,-0.25,-0.08333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,-0.16666666666666666,0.0,0.3333333333333333,-0.25,-0.08333333333333333,0.16666666666666666,-0.16666666666666666,0.0,0.0,0.3333333333333333,-0.3333333333333333,-0.16666666666666666,0.0,0.0,0.16666666666666666,-0.3333333333333333,-0.16666666666666666,-0.0,0.16666666666666666,-0.25,-0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5833333333333334,1.0
[16.  5.  0.  0.],-1.0,-0.75,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.75,-0.75,-0.75,-0.5,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5,-0.75,-0.75,-0.5,-0.5,-0.5833333333333334,-0.25,-0.5,-0.75,-0.5,-0.5,-0.75,-0.75,-0.5,-0.5,-0.5833333333333334,-0.5,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.25,-0.5,-0.5,-0.75,-0.5,-0.5,-0.5833333333333334,-0.5,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.3333333333333333,-0.25,-0.25,-0.5,-0.5,-0.4166666666666667,-0.5,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.25,-0.25,-0.25,-0.5,-0.5,-0.16666666666666666,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.25,-0.25,-0.25,0.08333333333333333,-0.5,-0.16666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.25,-0.25,-0.25,0.08333333333333333,-0.5,-0.16666666666666666,-0.3333333333333333,0.0,-0.25,-0.25,0.08333333333333333,-0.25,0.08333333333333333,-0.16666666666666666,0.0,-0.5,-0.5,-0.16666666666666666,-0.16666666666666666,0.0,-0.5,-0.3333333333333333,-0.3333333333333333,-0.0,-0.5,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.5
[17.  2.  1.  1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.25,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-0.25,-1.0,-0.75,-0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.25,-1.0,-0.75,-0.25,-1.0,-0.75,-0.25,-0.5833333333333334,-0.25,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.25,-1.0,-0.75,-0.25,-0.5833333333333334,-0.25,0.0,-0.08333333333333333,0.3333333333333333,-1.0,-1.0,-1.0,-0.75,-0.25,-1.0,-0.75,-0.25,-0.5833333333333334,-0.25,0.0,-0.08333333333333333,0.3333333333333333,0.5,-1.0,-1.0,-0.75,-1.0,-0.75,-0.25,-0.5833333333333334,-0.25,0.0,-0.08333333333333333,0.3333333333333333,0.5,-1.0,-1.0,-0.75,-0.25,-0.5833333333333334,-0.25,0.0,-0.08333333333333333,0.3333333333333333,0.5,-1.0,-0.75,-0.5833333333333334,-0.25,0.0,-0.08333333333333333,0.3333333333333333,0.5,-1.0,-0.5833333333333334,-0.25,0.0,-0.08333333333333333,0.3333333333333333,0.5,-0.4166666666666667,0.0,-0.08333333333333333,0.3333333333333333,0.5,0.0,-0.16666666666666666,0.16666666666666666,0.5,0.5,0.16666666666666666,0.25,0.8333333333333334,0.5,1.0,1.0
[17.  2.  2.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-0.5,-1.0,-0.5,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-1.0,-0.5,-0.5,-0.8333333333333334,-0.5,-0.5,-0.3333333333333333,-0.5,-1.0,-1.0,-1.0,-0.5,-1.0,-0.5,-0.5,-0.8333333333333334,-0.5,-0.5,-0.3333333333333333,-0.5,0.0,-0.16666666666666666,0.16666666666666666,-1.0,-1.0,-1.0,-0.5,-0.5,-0.8333333333333334,-0.5,-0.5,-0.3333333333333333,-0.5,0.0,-0.16666666666666666,0.16666666666666666,0.3333333333333333,-1.0,-1.0,-0.5,-0.8333333333333334,-0.5,-0.5,-0.3333333333333333,-0.5,0.0,-0.16666666666666666,0.16666666666666666,0.3333333333333333,-1.0,-0.8333333333333334,-0.5,-0.5,-0.3333333333333333,-0.5,0.0,-0.16666666666666666,0.16666666666666666,0.3333333333333333,-0.8333333333333334,-0.5,-0.3333333333333333,-0.5,0.0,-0.16666666666666666,0.16666666666666666,0.3333333333333333,-0.5,-0.3333333333333333,-0.5,0.0,-0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,-0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,-0.0,0.16666666666666666,0.25,0.16666666666666666,-0.08333333333333333,0.5,0.4166666666666667,0.75,1.0
[17.  3.  1.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.75,-0.5,-1.0,-1.0,-1.0,-0.75,-0.75,-1.0,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-1.0,-1.0,-0.75,-1.0,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5,-0.6666666666666666,-0.5,-0.4166666666666667,-0.3333333333333333,-1.0,-1.0,-0.75,-0.75,-0.75,-0.75,-0.5,-0.5,-0.6666666666666666,-0.5,-0.4166666666666667,-0.3333333333333333,-0.3333333333333333,-0.16666666666666666,0.0,-1.0,-0.75,-0.75,-0.75,-0.5,-0.5,-0.6666666666666666,-0.5,-0.4166666666666667,-0.3333333333333333,-0.3333333333333333,-0.16666666666666666,0.0,0.3333333333333333,-1.0,-0.75,-0.75,-0.5,-0.6666666666666666,-0.5,-0.4166666666666667,-0.3333333333333333,-0.3333333333333333,-0.16666666666666666,0.0,0.3333333333333333,-0.75,-0.5,-0.6666666666666666,-0.5,-0.4166666666666667,-0.3333333333333333,-0.3333333333333333,-0.16666666666666666,0.0,0.3333333333333333,-0.5,-0.5833333333333334,-0.4166666666666667,-0.3333333333333333,-0.3333333333333333,-0.16666666666666666,0.0,0.3333333333333333,-0.25,-0.3333333333333333,-0.16666666666666666,-0.3333333333333333,-0.16666666666666666,0.0,0.3333333333333333,-0.08333333333333333,-0.16666666666666666,0.0,0.0,0.3333333333333333,-0.16666666666666666,0.0,0.0,0.16666666666666666,-0.25,-0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5833333333333334,1.0
[17.  4.  0.  0.],-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-1.0,-0.75,-0.75,-0.75,-0.75,-0.5,-0.75,-0.75,-0.75,-0.5,-0.75,-0.75,-1.0,-0.75,-0.75,-0.5,-0.75,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5,-0.5833333333333334,-0.5,-0.3333333333333333,-0.75,-0.5,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5,-0.5833333333333334,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.3333333333333333,-0.5,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5,-0.5833333333333334,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.25,-0.5,-0.75,-0.5,-0.5,-0.5833333333333334,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.25,-0.5,-0.5,-0.4166666666666667,-0.5,-0.3333333333333333,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.25,-0.25,-0.5,-0.16666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.25,-0.25,0.08333333333333333,-0.5,-0.16666666666666666,-0.3333333333333333,0.0,-0.25,-0.25,0.08333333333333333,-0.16666666666666666,0.0,-0.5,-0.16666666666666666,-0.16666666666666666,0.0,-0.5,-0.3333333333333333,-0.0,-0.3333333333333333,-0.0,-0.0,0.5
[18.  1.  1.  1.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.25,-1.0,-1.0,-0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.25,-1.0,-1.0,-0.25,-1.0,-1.0,-0.25,-1.0,-0.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.25,-1.0,-1.0,-0.25,-1.0,-0.25,-0.5,-0.25,0.25,-1.0,-1.0,-1.0,-1.0,-0.25,-1.0,-1.0,-0.25,-1.0,-0.25,-0.5,-0.25,0.25,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-0.25,-1.0,-0.25,-0.5,-0.25,0.25,0.5,-1.0,-1.0,-1.0,-0.25,-1.0,-0.25,-0.5,-0.25,0.25,0.5,-1.0,-1.0,-1.0,-0.25,-0.5,-0.25,0.25,0.5,-1.0,-1.0,-0.25,-0.5,-0.25,0.25,0.5,-1.0,-0.5,-0.25,0.25,0.5,-0.5,-0.25,0.25,0.5,0.0,-0.0,0.5,0.5,0.25,1.0,1.0
[18.  2.  1.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.5,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-0.5,-1.0,-0.75,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.5,-1.0,-0.75,-0.5,-1.0,-0.75,-0.5,-0.6666666666666666,-0.5,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.5,-1.0,-0.75,-0.5,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-1.0,-1.0,-0.75,-0.5,-1.0,-0.75,-0.5,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,-1.0,-1.0,-0.75,-1.0,-0.75,-0.5,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,-1.0,-1.0,-0.75,-0.5,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,-1.0,-0.75,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,-1.0,-0.6666666666666666,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,-0.5833333333333334,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,-0.16666666666666666,-0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5833333333333334,1.0
[18.  3.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.75,-0.75,-1.0,-1.0,-1.0,-0.75,-0.75,-1.0,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-1.0,-1.0,-0.75,-1.0,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5833333333333334,-1.0,-1.0,-0.75,-0.75,-0.75,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5833333333333334,-0.5,-0.3333333333333333,-0.3333333333333333,-1.0,-0.75,-0.75,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5833333333333334,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,-0.75,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5833333333333334,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.75,-0.5,-0.75,-0.75,-0.5,-0.5833333333333334,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.5,-0.75,-0.5,-0.5833333333333334,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.25,-0.5,-0.4166666666666667,-0.5,-0.3333333333333333,-0.3333333333333333,0.0,-0.25,-0.5,-0.16666666666666666,-0.3333333333333333,0.0,-0.25,0.08333333333333333,-0.16666666666666666,0.0,-0.5,-0.16666666666666666,0.0,-0.3333333333333333,-0.0,-0.0,0.5
[19.  1.  1.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,-0.8333333333333334,-0.5,-0.16666666666666666,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,-0.8333333333333334,-0.5,-0.16666666666666666,0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-0.5,-0.8333333333333334,-0.5,-0.16666666666666666,0.3333333333333333,-1.0,-1.0,-1.0,-0.5,-1.0,-0.5,-0.8333333333333334,-0.5,-0.16666666666666666,0.3333333333333333,-1.0,-1.0,-1.0,-0.5,-0.8333333333333334,-0.5,-0.16666666666666666,0.3333333333333333,-1.0,-1.0,-0.5,-0.8333333333333334,-0.5,-0.16666666666666666,0.3333333333333333,-1.0,-0.8333333333333334,-0.5,-0.16666666666666666,0.3333333333333333,-0.8333333333333334,-0.5,-0.16666666666666666,0.3333333333333333,-0.5,-0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.4166666666666667,1.0
[19.  2.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.75,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-0.75,-1.0,-0.75,-0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.75,-1.0,-0.75,-0.75,-1.0,-0.75,-0.75,-0.75,-0.75,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.75,-1.0,-0.75,-0.75,-0.75,-0.75,-0.5,-0.5833333333333334,-0.3333333333333333,-1.0,-1.0,-1.0,-0.75,-0.75,-1.0,-0.75,-0.75,-0.75,-0.75,-0.5,-0.5833333333333334,-0.3333333333333333,0.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.75,-0.75,-0.75,-0.5,-0.5833333333333334,-0.3333333333333333,0.0,-1.0,-1.0,-0.75,-0.75,-0.75,-0.75,-0.5,-0.5833333333333334,-0.3333333333333333,0.0,-1.0,-0.75,-0.75,-0.75,-0.5,-0.5833333333333334,-0.3333333333333333,0.0,-1.0,-0.75,-0.75,-0.5,-0.5833333333333334,-0.3333333333333333,0.0,-0.75,-0.5,-0.5833333333333334,-0.3333333333333333,0.0,-0.5,-0.4166666666666667,-0.3333333333333333,0.0,-0.25,-0.16666666666666666,0.0,-0.16666666666666666,0.0,-0.0,0.5
[20.  1.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-1.0,-0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-1.0,-0.75,-1.0,-0.75,-0.5833333333333334,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-1.0,-0.75,-1.0,-0.75,-0.5833333333333334,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-1.0,-0.75,-0.5833333333333334,0.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-1.0,-0.75,-0.5833333333333334,0.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.5833333333333334,0.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.5833333333333334,0.0,-1.0,-1.0,-0.75,-0.5833333333333334,0.0,-1.0,-0.75,-0.5833333333333334,0.0,-1.0,-0.5833333333333334,0.0,-0.4166666666666667,0.0,0.0,0.5
[21.  0.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,-0.5,-0.5,0.0
